Sexo;Provincias;Tasas;Periodo;Total
Ambos sexos;02 Albacete;Tasa de paro de la población;2022T2;12,41
Ambos sexos;02 Albacete;Tasa de paro de la población;2022T1;16,57
Ambos sexos;02 Albacete;Tasa de paro de la población;2021T4;12,07
Ambos sexos;02 Albacete;Tasa de paro de la población;2021T3;15,49
Ambos sexos;02 Albacete;Tasa de paro de la población;2021T2;14,65
Ambos sexos;02 Albacete;Tasa de paro de la población;2021T1;19,77
Ambos sexos;02 Albacete;Tasa de empleo de la población;2023T4;51,18
Ambos sexos;02 Albacete;Tasa de empleo de la población;2023T3;53,49
Ambos sexos;02 Albacete;Tasa de empleo de la población;2023T2;52,02
Ambos sexos;02 Albacete;Tasa de empleo de la población;2023T1;51,24
Ambos sexos;02 Albacete;Tasa de empleo de la población;2022T4;52,55
Ambos sexos;02 Albacete;Tasa de empleo de la población;2022T3;51,32
Ambos sexos;02 Albacete;Tasa de empleo de la población;2022T2;50,86
Ambos sexos;02 Albacete;Tasa de empleo de la población;2022T1;48,52
Ambos sexos;02 Albacete;Tasa de empleo de la población;2021T4;48,80
Ambos sexos;02 Albacete;Tasa de empleo de la población;2021T3;49,96
Ambos sexos;02 Albacete;Tasa de empleo de la población;2021T2;49,62
Ambos sexos;02 Albacete;Tasa de empleo de la población;2021T1;46,67
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2023T4;58,51
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2023T3;59,26
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2023T2;57,66
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2023T1;58,23
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2022T4;60,21
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2022T3;58,15
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2022T2;57,08
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2022T1;57,88
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2021T4;57,92
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2021T3;57,17
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2021T2;55,89
Ambos sexos;03 Alicante/Alacant;Tasa de actividad;2021T1;55,27
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2023T4;13,28
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2023T3;11,46
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2023T2;12,67
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2023T1;15,48
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2022T4;15,21
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2022T3;13,61
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2022T2;14,13
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2022T1;14,78
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2021T4;18,53
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2021T3;18,43
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2021T2;17,93
Ambos sexos;03 Alicante/Alacant;Tasa de paro de la población;2021T1;19,17
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2023T4;50,74
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2023T3;52,47
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2023T2;50,36
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2023T1;49,21
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2022T4;51,05
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2022T3;50,23
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2022T2;49,01
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2022T1;49,32
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2021T4;47,19
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2021T3;46,64
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2021T2;45,86
Ambos sexos;03 Alicante/Alacant;Tasa de empleo de la población;2021T1;44,68
Ambos sexos;04 Almería;Tasa de actividad;2023T4;58,76
Ambos sexos;04 Almería;Tasa de actividad;2023T3;61,86
Ambos sexos;04 Almería;Tasa de actividad;2023T2;61,68
Ambos sexos;04 Almería;Tasa de actividad;2023T1;62,32
Ambos sexos;04 Almería;Tasa de actividad;2022T4;61,28
Ambos sexos;04 Almería;Tasa de actividad;2022T3;60,18
Ambos sexos;04 Almería;Tasa de actividad;2022T2;61,31
Ambos sexos;04 Almería;Tasa de actividad;2022T1;62,43
Ambos sexos;04 Almería;Tasa de actividad;2021T4;62,46
Ambos sexos;04 Almería;Tasa de actividad;2021T3;61,55
Ambos sexos;04 Almería;Tasa de actividad;2021T2;60,54
Ambos sexos;04 Almería;Tasa de actividad;2021T1;61,32
Ambos sexos;04 Almería;Tasa de paro de la población;2023T4;14,46
Ambos sexos;04 Almería;Tasa de paro de la población;2023T3;19,83
Ambos sexos;04 Almería;Tasa de paro de la población;2023T2;16,34
Ambos sexos;04 Almería;Tasa de paro de la población;2023T1;12,87
Ambos sexos;04 Almería;Tasa de paro de la población;2022T4;16,06
Ambos sexos;04 Almería;Tasa de paro de la población;2022T3;20,10
Ambos sexos;04 Almería;Tasa de paro de la población;2022T2;15,39
Ambos sexos;04 Almería;Tasa de paro de la población;2022T1;15,90
Ambos sexos;04 Almería;Tasa de paro de la población;2021T4;15,65
Ambos sexos;04 Almería;Tasa de paro de la población;2021T3;21,41
Ambos sexos;04 Almería;Tasa de paro de la población;2021T2;22,01
Ambos sexos;04 Almería;Tasa de paro de la población;2021T1;17,14
Ambos sexos;04 Almería;Tasa de empleo de la población;2023T4;50,26
Ambos sexos;04 Almería;Tasa de empleo de la población;2023T3;49,59
Ambos sexos;04 Almería;Tasa de empleo de la población;2023T2;51,60
Ambos sexos;04 Almería;Tasa de empleo de la población;2023T1;54,30
Ambos sexos;04 Almería;Tasa de empleo de la población;2022T4;51,44
Ambos sexos;04 Almería;Tasa de empleo de la población;2022T3;48,08
Ambos sexos;04 Almería;Tasa de empleo de la población;2022T2;51,87
Ambos sexos;04 Almería;Tasa de empleo de la población;2022T1;52,50
Ambos sexos;04 Almería;Tasa de empleo de la población;2021T4;52,68
Ambos sexos;04 Almería;Tasa de empleo de la población;2021T3;48,37
Ambos sexos;04 Almería;Tasa de empleo de la población;2021T2;47,22
Ambos sexos;04 Almería;Tasa de empleo de la población;2021T1;50,80
Ambos sexos;01 Araba/Álava;Tasa de actividad;2023T4;56,79
Ambos sexos;01 Araba/Álava;Tasa de actividad;2023T3;58,29
Ambos sexos;01 Araba/Álava;Tasa de actividad;2023T2;58,79
Ambos sexos;01 Araba/Álava;Tasa de actividad;2023T1;59,45
Ambos sexos;01 Araba/Álava;Tasa de actividad;2022T4;59,33
Ambos sexos;01 Araba/Álava;Tasa de actividad;2022T3;58,54
Ambos sexos;01 Araba/Álava;Tasa de actividad;2022T2;57,62
Ambos sexos;01 Araba/Álava;Tasa de actividad;2022T1;57,36
Ambos sexos;01 Araba/Álava;Tasa de actividad;2021T4;59,49
Ambos sexos;01 Araba/Álava;Tasa de actividad;2021T3;58,30
Ambos sexos;01 Araba/Álava;Tasa de actividad;2021T2;55,35
Ambos sexos;01 Araba/Álava;Tasa de actividad;2021T1;56,06
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2023T4;5,03
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2023T3;9,15
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2023T2;6,66
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2023T1;6,35
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2022T4;7,81
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2022T3;8,62
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2022T2;9,42
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2022T1;9,38
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2021T4;8,71
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2021T3;11,44
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2021T2;10,47
Ambos sexos;01 Araba/Álava;Tasa de paro de la población;2021T1;11,31
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2023T4;53,94
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2023T3;52,96
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2023T2;54,88
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2023T1;55,67
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2022T4;54,69
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2022T3;53,49
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2022T2;52,19
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2022T1;51,98
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2021T4;54,31
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2021T3;51,63
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2021T2;49,55
Ambos sexos;01 Araba/Álava;Tasa de empleo de la población;2021T1;49,72
Ambos sexos;33 Asturias;Tasa de actividad;2023T4;50,84
Ambos sexos;33 Asturias;Tasa de actividad;2023T3;51,68
Ambos sexos;33 Asturias;Tasa de actividad;2023T2;50,40
Ambos sexos;33 Asturias;Tasa de actividad;2023T1;49,71
Ambos sexos;33 Asturias;Tasa de actividad;2022T4;50,45
Ambos sexos;33 Asturias;Tasa de actividad;2022T3;50,02
Ambos sexos;33 Asturias;Tasa de actividad;2022T2;48,86
Ambos sexos;33 Asturias;Tasa de actividad;2022T1;49,86
Ambos sexos;33 Asturias;Tasa de actividad;2021T4;50,01
Ambos sexos;33 Asturias;Tasa de actividad;2021T3;51,05
Ambos sexos;33 Asturias;Tasa de actividad;2021T2;51,08
Ambos sexos;33 Asturias;Tasa de actividad;2021T1;50,59
Ambos sexos;33 Asturias;Tasa de paro de la población;2023T4;11,81
Ambos sexos;33 Asturias;Tasa de paro de la población;2023T3;13,09
Ambos sexos;33 Asturias;Tasa de paro de la población;2023T2;10,45
Ambos sexos;33 Asturias;Tasa de paro de la población;2023T1;13,06
Ambos sexos;33 Asturias;Tasa de paro de la población;2022T4;14,39
Ambos sexos;33 Asturias;Tasa de paro de la población;2022T3;12,81
Ambos sexos;33 Asturias;Tasa de paro de la población;2022T2;11,36
Ambos sexos;33 Asturias;Tasa de paro de la población;2022T1;11,97
Ambos sexos;33 Asturias;Tasa de paro de la población;2021T4;10,01
Ambos sexos;33 Asturias;Tasa de paro de la población;2021T3;12,32
Ambos sexos;33 Asturias;Tasa de paro de la población;2021T2;13,64
Ambos sexos;33 Asturias;Tasa de paro de la población;2021T1;14,09
Ambos sexos;33 Asturias;Tasa de empleo de la población;2023T4;44,83
Ambos sexos;33 Asturias;Tasa de empleo de la población;2023T3;44,91
Ambos sexos;33 Asturias;Tasa de empleo de la población;2023T2;45,14
Ambos sexos;33 Asturias;Tasa de empleo de la población;2023T1;43,22
Ambos sexos;33 Asturias;Tasa de empleo de la población;2022T4;43,19
Ambos sexos;33 Asturias;Tasa de empleo de la población;2022T3;43,61
Ambos sexos;33 Asturias;Tasa de empleo de la población;2022T2;43,31
Ambos sexos;33 Asturias;Tasa de empleo de la población;2022T1;43,89
Ambos sexos;33 Asturias;Tasa de empleo de la población;2021T4;45,00
Ambos sexos;33 Asturias;Tasa de empleo de la población;2021T3;44,76
Ambos sexos;33 Asturias;Tasa de empleo de la población;2021T2;44,11
Ambos sexos;33 Asturias;Tasa de empleo de la población;2021T1;43,46
Ambos sexos;05 Ávila;Tasa de actividad;2023T4;52,90
Ambos sexos;05 Ávila;Tasa de actividad;2023T3;53,45
Ambos sexos;05 Ávila;Tasa de actividad;2023T2;54,40
Ambos sexos;05 Ávila;Tasa de actividad;2023T1;54,61
Ambos sexos;05 Ávila;Tasa de actividad;2022T4;55,66
Ambos sexos;05 Ávila;Tasa de actividad;2022T3;55,56
Ambos sexos;05 Ávila;Tasa de actividad;2022T2;52,78
Ambos sexos;05 Ávila;Tasa de actividad;2022T1;53,34
Ambos sexos;05 Ávila;Tasa de actividad;2021T4;53,75
Ambos sexos;05 Ávila;Tasa de actividad;2021T3;51,82
Ambos sexos;05 Ávila;Tasa de actividad;2021T2;53,59
Ambos sexos;05 Ávila;Tasa de actividad;2021T1;52,21
Ambos sexos;05 Ávila;Tasa de paro de la población;2023T4;11,30
Ambos sexos;05 Ávila;Tasa de paro de la población;2023T3;10,95
Ambos sexos;05 Ávila;Tasa de paro de la población;2023T2;11,86
Ambos sexos;05 Ávila;Tasa de paro de la población;2023T1;12,77
Ambos sexos;05 Ávila;Tasa de paro de la población;2022T4;12,00
Ambos sexos;05 Ávila;Tasa de paro de la población;2022T3;13,02
Ambos sexos;05 Ávila;Tasa de paro de la población;2022T2;14,86
Ambos sexos;05 Ávila;Tasa de paro de la población;2022T1;15,35
Ambos sexos;05 Ávila;Tasa de paro de la población;2021T4;15,32
Ambos sexos;05 Ávila;Tasa de paro de la población;2021T3;12,08
Ambos sexos;05 Ávila;Tasa de paro de la población;2021T2;17,18
Ambos sexos;05 Ávila;Tasa de paro de la población;2021T1;15,81
Ambos sexos;05 Ávila;Tasa de empleo de la población;2023T4;46,92
Ambos sexos;05 Ávila;Tasa de empleo de la población;2023T3;47,60
Ambos sexos;05 Ávila;Tasa de empleo de la población;2023T2;47,95
Ambos sexos;05 Ávila;Tasa de empleo de la población;2023T1;47,63
Ambos sexos;05 Ávila;Tasa de empleo de la población;2022T4;48,98
Ambos sexos;05 Ávila;Tasa de empleo de la población;2022T3;48,32
Ambos sexos;05 Ávila;Tasa de empleo de la población;2022T2;44,94
Ambos sexos;05 Ávila;Tasa de empleo de la población;2022T1;45,16
Ambos sexos;05 Ávila;Tasa de empleo de la población;2021T4;45,52
Ambos sexos;05 Ávila;Tasa de empleo de la población;2021T3;45,56
Ambos sexos;05 Ávila;Tasa de empleo de la población;2021T2;44,38
Ambos sexos;05 Ávila;Tasa de empleo de la población;2021T1;43,96
Ambos sexos;06 Badajoz;Tasa de actividad;2023T4;56,75
Ambos sexos;06 Badajoz;Tasa de actividad;2023T3;59,45
Ambos sexos;06 Badajoz;Tasa de actividad;2023T2;58,23
Ambos sexos;06 Badajoz;Tasa de actividad;2023T1;57,54
Ambos sexos;06 Badajoz;Tasa de actividad;2022T4;56,96
Ambos sexos;06 Badajoz;Tasa de actividad;2022T3;57,71
Ambos sexos;06 Badajoz;Tasa de actividad;2022T2;56,60
Ambos sexos;06 Badajoz;Tasa de actividad;2022T1;55,75
Ambos sexos;06 Badajoz;Tasa de actividad;2021T4;55,10
Ambos sexos;06 Badajoz;Tasa de actividad;2021T3;58,29
Ambos sexos;06 Badajoz;Tasa de actividad;2021T2;56,54
Ambos sexos;06 Badajoz;Tasa de actividad;2021T1;54,97
Ambos sexos;06 Badajoz;Tasa de paro de la población;2023T4;17,59
Ambos sexos;06 Badajoz;Tasa de paro de la población;2023T3;18,98
Ambos sexos;06 Badajoz;Tasa de paro de la población;2023T2;18,05
Ambos sexos;06 Badajoz;Tasa de paro de la población;2023T1;19,46
Ambos sexos;06 Badajoz;Tasa de paro de la población;2022T4;18,82
Ambos sexos;06 Badajoz;Tasa de paro de la población;2022T3;16,47
Ambos sexos;06 Badajoz;Tasa de paro de la población;2022T2;16,14
Ambos sexos;06 Badajoz;Tasa de paro de la población;2022T1;18,89
Ambos sexos;06 Badajoz;Tasa de paro de la población;2021T4;19,70
Ambos sexos;06 Badajoz;Tasa de paro de la población;2021T3;18,19
Ambos sexos;06 Badajoz;Tasa de paro de la población;2021T2;19,20
Ambos sexos;06 Badajoz;Tasa de paro de la población;2021T1;21,47
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2023T4;46,77
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2023T3;48,16
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2023T2;47,72
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2023T1;46,34
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2022T4;46,24
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2022T3;48,21
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2022T2;47,46
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2022T1;45,22
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2021T4;44,25
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2021T3;47,69
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2021T2;45,68
Ambos sexos;06 Badajoz;Tasa de empleo de la población;2021T1;43,16
Ambos sexos;07 Balears, Illes;Tasa de actividad;2023T4;61,05
Ambos sexos;07 Balears, Illes;Tasa de actividad;2023T3;67,22
Ambos sexos;07 Balears, Illes;Tasa de actividad;2023T2;65,01
Ambos sexos;07 Balears, Illes;Tasa de actividad;2023T1;61,79
Ambos sexos;07 Balears, Illes;Tasa de actividad;2022T4;61,05
Ambos sexos;07 Balears, Illes;Tasa de actividad;2022T3;66,77
Ambos sexos;07 Balears, Illes;Tasa de actividad;2022T2;65,42
Ambos sexos;07 Balears, Illes;Tasa de actividad;2022T1;63,09
Ambos sexos;07 Balears, Illes;Tasa de actividad;2021T4;61,41
Ambos sexos;07 Balears, Illes;Tasa de actividad;2021T3;66,58
Ambos sexos;07 Balears, Illes;Tasa de actividad;2021T2;64,71
Ambos sexos;07 Balears, Illes;Tasa de actividad;2021T1;60,17
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2023T4;11,38
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2023T3;5,72
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2023T2;7,15
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2023T1;18,14
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2022T4;10,91
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2022T3;5,79
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2022T2;9,29
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2022T1;18,03
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2021T4;14,90
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2021T3;10,57
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2021T2;15,17
Ambos sexos;07 Balears, Illes;Tasa de paro de la población;2021T1;18,88
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2023T4;54,10
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2023T3;63,38
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2023T2;60,36
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2023T1;50,58
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2022T4;54,39
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2022T3;62,91
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2022T2;59,34
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2022T1;51,72
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2021T4;52,26
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2021T3;59,54
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2021T2;54,89
Ambos sexos;07 Balears, Illes;Tasa de empleo de la población;2021T1;48,81
Ambos sexos;08 Barcelona;Tasa de actividad;2023T4;63,01
Ambos sexos;08 Barcelona;Tasa de actividad;2023T3;62,31
Ambos sexos;08 Barcelona;Tasa de actividad;2023T2;62,11
Ambos sexos;08 Barcelona;Tasa de actividad;2023T1;61,24
Ambos sexos;08 Barcelona;Tasa de actividad;2022T4;61,28
Ambos sexos;08 Barcelona;Tasa de actividad;2022T3;61,85
Ambos sexos;08 Barcelona;Tasa de actividad;2022T2;61,29
Ambos sexos;08 Barcelona;Tasa de actividad;2022T1;61,01
Ambos sexos;08 Barcelona;Tasa de actividad;2021T4;61,69
Ambos sexos;08 Barcelona;Tasa de actividad;2021T3;61,49
Ambos sexos;08 Barcelona;Tasa de actividad;2021T2;61,53
Ambos sexos;08 Barcelona;Tasa de actividad;2021T1;61,08
Ambos sexos;08 Barcelona;Tasa de paro de la población;2023T4;8,44
Ambos sexos;08 Barcelona;Tasa de paro de la población;2023T3;8,35
Ambos sexos;08 Barcelona;Tasa de paro de la población;2023T2;8,52
Ambos sexos;08 Barcelona;Tasa de paro de la población;2023T1;10,15
Ambos sexos;08 Barcelona;Tasa de paro de la población;2022T4;10,15
Ambos sexos;08 Barcelona;Tasa de paro de la población;2022T3;9,30
Ambos sexos;08 Barcelona;Tasa de paro de la población;2022T2;9,18
Ambos sexos;08 Barcelona;Tasa de paro de la población;2022T1;10,14
Ambos sexos;08 Barcelona;Tasa de paro de la población;2021T4;9,60
Ambos sexos;08 Barcelona;Tasa de paro de la población;2021T3;10,79
Ambos sexos;08 Barcelona;Tasa de paro de la población;2021T2;12,15
Ambos sexos;08 Barcelona;Tasa de paro de la población;2021T1;12,36
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2023T4;57,69
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2023T3;57,11
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2023T2;56,82
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2023T1;55,02
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2022T4;55,07
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2022T3;56,10
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2022T2;55,67
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2022T1;54,82
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2021T4;55,77
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2021T3;54,86
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2021T2;54,06
Ambos sexos;08 Barcelona;Tasa de empleo de la población;2021T1;53,53
Ambos sexos;48 Bizkaia;Tasa de actividad;2023T4;57,94
Ambos sexos;48 Bizkaia;Tasa de actividad;2023T3;57,73
Ambos sexos;48 Bizkaia;Tasa de actividad;2023T2;57,88
Ambos sexos;48 Bizkaia;Tasa de actividad;2023T1;55,92
Ambos sexos;48 Bizkaia;Tasa de actividad;2022T4;56,75
Ambos sexos;48 Bizkaia;Tasa de actividad;2022T3;57,38
Ambos sexos;48 Bizkaia;Tasa de actividad;2022T2;56,71
Ambos sexos;48 Bizkaia;Tasa de actividad;2022T1;57,27
Ambos sexos;48 Bizkaia;Tasa de actividad;2021T4;56,75
Ambos sexos;48 Bizkaia;Tasa de actividad;2021T3;55,86
Ambos sexos;48 Bizkaia;Tasa de actividad;2021T2;54,62
Ambos sexos;48 Bizkaia;Tasa de actividad;2021T1;53,45
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2023T4;6,69
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2023T3;7,87
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2023T2;7,63
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2023T1;9,34
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2022T4;8,96
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2022T3;9,58
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2022T2;9,28
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2022T1;9,55
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2021T4;9,50
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2021T3;10,04
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2021T2;11,32
Ambos sexos;48 Bizkaia;Tasa de paro de la población;2021T1;12,04
Ambos sexos;48 Bizkaia;Tasa de empleo de la población;2023T4;54,07
Ambos sexos;48 Bizkaia;Tasa de empleo de la población;2023T3;53,19
Ambos sexos;48 Bizkaia;Tasa de empleo de la población;2023T2;53,47
Ambos sexos;48 Bizkaia;Tasa de empleo de la población;2023T1;50,70
